ISBN	Title	Author	Length	Discount	Instock	List Price	Editor	Category													
0134314298	C++ Without Fear LiveLessons (Video Training)	Overland	6	x	01/18/2016	$149.99	"Boedigheimer, Kim"	C/C++ Programming													
067233769X	"Building Universal Windows Platforms Apps Complete Video Course (Video Training), Downloadable Version"	Melia	7	x	01/15/2016	$299.99	"Murray, Joan"	Microsoft Programming													
0134394682	Analysis Techniques for Product Owners LiveLessons (Video Training)	McDonald		x	01/04/2016	$299.99	"Phifer, Julie"	Agile													
0789754282	NCLEX-PN LiveLessons	Rinehart / Sloan		y	01/01/2016	$59.99	"Brown, Betsy"	Nursing													
0789754274	NCLEX-RN LiveLessons	Rinehart / Sloan		y	01/01/2016	$59.99	"Brown, Betsy"	Nursing													
1587205742	Cisco Programmable Fabric Using VXLAN with BGP EVPN LiveLessons	Jansen / Krattiger		x	12/30/2015	$199.99	"Lincoln, Denise"	Cisco Certification													
0134212479	"Project Management LiveLessons (Video Training), Downloadable Version"	Pinto		x	12/24/2015	$299.99	"Boedigheimer, Kim"	Project Management													
078975732X	CCNP Routing and Switching ROUTE 300-101 Exam Prep Video LiveLessons	Pardasani	nyr 7	y	12/23/2015	$199.99	"Bartow, Brett"	Cisco Certification													
0134299701	Essentials of Android App Development and More Essentials LiveLessons	Clifton	15	n	12/21/2015	$299.99	"Lewin, Laura"	Mobile Programming													
0672338475	"Microsoft Windows Server Hyper-V and Remote Desktop Services LiveLessons (Video Training), Downloada"	Liberman	5	x	12/21/2015	$199.99	"Yates, Loretta"	Microsoft Servers													
0789757125	PowerPoint 2016 LiveLessons (Video Training)	Swinford	6	x	12/21/2015	$99.99	"Norman, Laura"	Microsoft Applications													
0789757346	CCIE Collaboration Lab Exam LiveLessons	Wallace		x	12/18/2015	$299.99	"Bartow, Brett"	Cisco Certification													
1587205777	CCNA Cloud CLDADM 210-455 LiveLessons	Jackson	nyr 7	x	12/18/2015	$149.99	"Lincoln, Denise"	Cisco Certification													
0789756544	CCNA Security 210-260 Complete Video Course	Santos / Woland / Harris	10	x	12/18/2015	$299.99	"Lincoln, Denise"	Cisco Certification													
0134298969	More Essential Android App Development LiveLessons (Video Training)	Clifton		x	12/18/2015	$199.99	"Lewin, Laura"	Mobile Programming													
0789757400	The Current Security Threat Landscape Networking Talks LiveLessons	Santos		x	12/17/2015	$69.99	"Lincoln, Denise"	Network Security													
0134433939	JavaScript and jQuery Complete Video Course	Hall	13	x	12/16/2015	$249.99	"Phifer, Julie"	Web Development													
0789756463	CompTIA A+ (220-901) Complete Video Course	Prowse	18	x	12/14/2015	$299.99	"Lincoln, Denise"	CompTIA Certification													
0672338459	"Microsoft Windows Server Group Policy LiveLessons (Video Training), Downloadable Video"	Liberman	6	x	12/14/2015	$199.99	"Yates, Loretta"	Microsoft Servers													
0672338467	"Microsoft Windows Server Networking LiveLessons (Video Training), Downloadable Video"	Liberman	6	x	12/12/2015	$199.99	"Yates, Loretta"	Microsoft Servers													
0789756633	Project 2016 LiveLessons (Video Training)	Huffman	6	x	12/04/2015	$149.99	"Norman, Laura"	Microsoft Applications													
0134192729	Learning HTML & CSS LiveLessons (Video Training)	Kyrnin	5	x	11/30/2015	$149.99	"Taber, Mark"	Web Development													
0134191110	"Secure Coding Rules for Java LiveLessons, Part I"	Seacord	5	x	11/12/2015	$66.99	"Boedigheimer, Kim"	Java Programming													
0789756358	CCNA Wireless 200-355 Complete Video Course	Henry	13	x	11/05/2015	$299.99	"Lincoln, Denise"	Cisco Certification													
0134394801	Building Spark Applications LiveLessons	Dinu	5	x	11/04/2015	$299.99	"Williams-Cauley, Debra"	Big Data													
1587205769	Implementing Cisco Unified Computing System LiveLessons	Lindfield	nyr 7	x	11/04/2015	$149.99	"Ray, Mary Beth"	Cisco Certification													
0789756587	"Oracle Certified Associate, Java SE 8 Programmer I Exam (1Z0-808) Complete Video Course"	Roberts	17	x	10/26/2015	$349.99	"Lincoln, Denise"	Certification													
013439867X	Docker Orchestration and Microservices LiveLessons	Crawford	3	x	10/21/2015	$299.99	"Williams-Cauley, Debra"	Networking													
0134289145	"OBIEE (Oracle Business Intelligence Enterprise Edition) 11g  Reports and Dashboards LiveLessons (Video Training), Downloadable Version"	Hotka	7	x	10/21/2015	$299.99	"Phifer, Julie"	Database													
0134289129	"Toad for Oracle LiveLessons (Video Training), Downloadable Version"	Hotka	4	x	10/21/2015	$199.99	"Phifer, Julie"	Database													
0134392779	IP Multicast Fundamentals LiveLessons (Workshop) (Streaming)	Fuller	5	x	10/15/2015	$199.99	"Lincoln, Denise"	Networking													
0134427122	R Programming LiveLessons (Video Training)	Lander	10	x	10/07/2015	$399.99	"Williams-Cauley, Debra"	Big Data													
0789756579	CompTIA Linux+ / LPIC-1 Complete Video Course	van Vugt	13	x	10/05/2015	$349.99	"Lincoln, Denise"	CompTIA Certification													
0672337444	LINQ to Objects LiveLessons	Melia	6	x	10/05/2015	$149.00	"Murray, Joan"	Microsoft Programming													
0789755319	Red Hat Certified Engineer (RHCE) Exam Prep Video Workshop (Download)	van Vugt	4	x	10/01/2015	$199.99	"Lincoln, Denise"	Certification													
0134397428	Docker Containers LiveLessons	Negus	4	x	09/30/2015	$299.99	"Williams-Cauley, Debra"	Linux/Unix/Open Source													
0134383567	"Learning Modern Java LiveLessons (Video Training), Downloadable Version"	Hall	17	x	09/28/2015	$299.99	"Phifer, Julie"	Java Programming													
0134383575	"Java 8 Lambda Expressions and Streams LiveLessons (Video Training), 2nd Edition, Downloadable Version"	Hall	7	x	09/24/2015	$199.99	"Phifer, Julie"	Java Programming													
0789755300	Red Hat Certified System Administrator (RHCSA) Exam Prep Video Workshop (Streaming)	van Vugt	4.5	x	09/22/2015	$199.99	"Lincoln, Denise"	Certification													
0134384105	"Oracle PL/SQL Advanced Programming LiveLessons (Video Training), Downloadable Version"	Hotka	7	x	09/21/2015	$299.99	"Phifer, Julie"	Database													
067233755X	Building a Private Cloud Using Microsoft System Center 2012 R2 Live Lessons (Video Training)	Posey	6	x	09/17/2015	$169.99	"Murray, Joan"	Microsoft Servers													
0134390717	"Continuous Delivery LiveLessons (Video Training), Downloadable Version"	Humble	4	x	09/10/2015	$299.99	"Phifer, Julie"	General/Software Engineering/Other SW Dev													
0134305868	Introduction to the FreeBSD Open Source Operating System LiveLessons	McKusick	11	x	09/04/2015	$299.99	"Williams-Cauley, Debra"	Linux/Unix/Open Source													
0672338440	"Microsoft Windows Server 2012 R2 Administration LiveLessons (Video Training), Downloadable Video"	Liberman	8	x	09/03/2015	$199.99	"Yates, Loretta"	Microsoft Servers													
0672337568	Deploying and Managing Hyper-V LiveLessons (Video Training)	Posey	7	x	08/31/2015	$169.99	"Murray, Joan"	Microsoft Servers													
0134311531	"Building Java 8 Web Applications with Microservices (Workshop), LiveLesssons, Downloadable Version"	Gee	4	x	08/28/2015	$199.99	"Phifer, Julie"	Java Programming													
1587205718	Cisco OSPF LiveLessons (Downloadable Video)	Slattery	0	x	08/24/2015	$249.99	"Lincoln, Denise"	Routing & Switching													
0134135881	"SAP Cloud: SuccessFactors Employee Central LiveLessons (Video Training), Downloadable"	Krishnamoorthy	6	x	08/17/2015	$149.99	"Lewin, Laura"	General/Other Web Services													
0134189752	"Requirements: The Masterclass LiveLessons—Traditional, Agile, Outsourcing (Video Training)"	Robertson / Robertson	13	x	08/12/2015	$399.99	"Boedigheimer, Kim"	General/Software Engineering/Other SW Dev													
0134275748	"Oracle SQL LiveLessons (Video Training), Downloadable Version"	Hotka	6	x	08/07/2015	$249.99	"Phifer, Julie"	Database													
0134049853	Swift Fundamentals LiveLessons Parts I and II (Video Training)	Deitel	18	x	08/07/2015	$399.00	"Taub, Mark"	iOS Programming													
0134175166	"Effective Python LiveLessons (Video Training), Downloadable Version"	Slatkin	6	x	08/04/2015	$249.99	"MacDonald, Trina"	Perl/PHP/Python													
0789755408	ITIL Foundation Exam LiveLessons	Knapp	16	x	08/04/2015	$299.99	"Brown, Betsy"	Certification													
078975522X	How to Create and Deliver Great Presentations LiveLessons (Video Training)	Comm / Slattery	5	x	08/03/2015	$149.99	"Kughen, Rick"	"Management, Strategy, & Leadership"													
0789754991	HRCI Certification Exams: Your Video Coach to Preparing and Passing the Exams	Winterfield / Snyder	1.5	x	08/03/2015	$69.99	"Brown, Betsy"	Other Non-Technical													
0134175379	"Effective Ruby LiveLessons (Video Training), Downloadable Version"	Phippen / Jones	4	x	07/24/2015	$249.99	"MacDonald, Trina"	Ruby/Ruby on Rails													
0134193571	Learning SQL LiveLessons (Video Training)	Forta	3	x	07/22/2015	$149.99	"Taber, Mark"	Database													
078975472X	CompTIA Network+ N10-006 Complete Video Course	Wallace	17	y	07/15/2015	$299.99	"Bartow, Brett"	CompTIA Certification													
0789755378	Predictive Analytics for Excel LiveLessons (Video Training)	Carlberg	5	x	07/10/2015	$149.99	"Newcomb, Michelle"	Microsoft Applications													
0789754770	LPIC-1 (Exam 102) LiveLessons	van Vugt	7	x	07/07/2015	$199.99	"Lincoln, Denise"	Certification													
0789754266	NCLEX-PN Review Complete Video Course	Rinehart / Sloan	11	x	06/30/2015	$199.99	"Brown, Betsy"	Nursing													
0789755491	Ubuntu Server Essentials LiveLessons	van Vugt	3.5	x	06/29/2015	$149.99	"Lincoln, Denise"	Linux/Unix/Open Source													
0134077024	Swift Fundamentals LiveLessons Part III of III (Video Training)	Deitel	13	x	06/26/2015	$149.99	"Taub, Mark"	Mac OS Programming													
0789755211	Designing Great Video Games LiveLessons (Video Training)	Comm	4	x	06/25/2015	$149.99	"Kughen, Rick"	Game Programming													
0134263499	"Oracle 12c New Features, Part I LiveLessons (Video Training), Downloadable Version"	Czuprynski	4	x	06/16/2015	$299.99	"Phifer, Julie"	Database													
0789754126	NCLEX-RN Review Complete Video Course	Rinehart / Sloan	11	x	06/15/2015	$249.99	"Brown, Betsy"	Nursing													
0789755025	WordPress for Developers LiveLessons (Video Training)	LeMasney	4.5	x	06/05/2015	$189.99	"Newcomb, Michelle"	Web Development													
0789755165	Introduction to Raspberry Pi LiveLessons (Video Training)	LeMasney	5.5	x	06/04/2015	$119.99	"Kughen, Rick"	Robotics													
0134214447	"Oracle PL/SQL Programming Fundamentals LiveLessons (Video Training), Downloadable Version"	Hotka	4	x	06/03/2015	$199.99	"Phifer, Julie"	Database													
0134190971	Introduction to Blender LiveLessons (Video Training)	Villar	13	x	06/02/2015	$149.99	"Lewin, Laura"	Graphic Programming													
0789752387	Visio 2013 LiveLessons (Video Training)	Roth	6	x	05/31/2015	$149.99	"Wiegand, Greg"	Microsoft Applications													
158720665X	CCNA Cloud CLDFND 210-451 LiveLessons	Santana	7.5	x	05/29/2015	$149.99	"Lincoln, Denise"	Cisco Certification													
0134077008	Swift Fundamentals LiveLessons Part II of II (Video Training)	Deitel	7	x	05/29/2015	$199.99	"Taub, Mark"	Mac OS Programming													
0672337371	Managing Office 365 Identities and Requirements (MCSA 70-346 exam) LiveLessons	Griffin	4	x	05/22/2015	$149.99	"Murray, Joan"	Microsoft Applications													
0789754495	CCNP Routing and Switching v2.0 Complete Video Course Library	Wallace	32	x	05/20/2015	$799.99	"Bartow, Brett"	Cisco Certification													
1587205637	Cisco TrustSec LiveLessons	Timms	5	x	05/20/2015	$199.99	"Lincoln, Denise"	Cisco Certification													
0133965449	iOS 8 App Development Fundamentals with Swift LiveLessons I and II (Video Training) Downloadable Version	Deitel	13	x	05/13/2015	$399.99	"Taub, Mark"	Mac OS Programming													
0672337312	WordPress for Advanced Users (LiveLessons)	LeMasney	3	x	05/12/2015	$119.99	"Newcomb, Michelle"	Web Development													
0134192451	"Building Microservices with Spring Boot LiveLessons (Video Training), Downloadable Version"	Long / Webb	6	x	05/06/2015	$199.99	"Phifer, Julie"	Java Programming													
158720570X	Cisco ASA 5500-X Series Next-Generation Firewalls LiveLessons (Workshop) (Download)	Santos	7	x	05/06/2015	$249.99	"Lincoln, Denise"	Cisco Certification													
0789754290	CCNP Routing and Switching TSHOOT 300-135 Complete Video Course	Wallace	9	y	05/05/2015	$349.99	"Bartow, Brett"	Cisco Certification													
0134137329	"iOS Swift Programming by Example LiveLessons (Video Training), Downloadable Version"	Miller	8	x	05/01/2015	$169.99	"MacDonald, Trina"	Mac OS Programming													
0672337320	SQL Server Replication Fundamentals LiveLessons (Downloadable Video)	Johnson	4	x	04/28/2015	$149.99	"Murray, Joan"	Microsoft Other Server													
0134133668	"Git Under the Hood LiveLessons (Video Training), Downloadable Version"	Haemer	4	x	04/23/2015	$299.99	"Phifer, Julie"	General/Software Engineering/Other SW Dev													
0134094808	iOS 8 App Development Fundamentals LiveLessons Part III of III (Video Training)	Deitel	13	x	04/20/2015	$149.99	"Taub, Mark"	Mac OS Programming													
0134097335	The Ruby on Rails Tutorial LiveLessons	Hartl	19	x	03/26/2015	$299.99	"Williams-Cauley, Debra"	Ruby/Ruby on Rails													
0132853825	"Digital Archaeology LiveLessons (Video Training), Downloadable Version"	Graves	7	x	03/24/2015	$149.99	"Phifer, Julie"	General Security & Privacy													
0789753723	Cisco CCNA Data Center DCICT 640-916 LiveLessons	Dagenhardt	8.5	x	03/23/2015	$199.99	"Lincoln, Denise"	Cisco Certification													
0789754789	CompTIA A+ Troubleshooting Techniques LiveLessons	Prowse	10	x	03/19/2015	$199.99	"Lincoln, Denise"	CompTIA Certification													
0134131983	"Leading SAFe (Scaled Agile Framework) LiveLessons (Video Training), Downloadable Version"	Leffingwell	4	x	03/18/2015	$299.99	"Phifer, Julie"	Agile													
0134068149	"The Essentials of Android Application Development LiveLessons (Video Training), 2nd Ed, Downloadable"	Clifton	12	x	03/13/2015	$149.99	"Lewin, Laura"	Mobile Programming													
0134117026	"Oracle SQL Performance Tuning for Developers LiveLessons (Video Training), Downloadable Version"	Hotka	6	x	03/09/2015	$299.99	"Phifer, Julie"	Database													
0134052102	Building Cross-Platform Mobile Apps with Xamarin and Visual Studio LiveLessons (Downloadable)	Sells	7	x	03/04/2015	$199.99	"Murray, Joan"	Microsoft Programming													
0134137310	"Introduction to Information Security LiveLessons (Video Training), Downloadable"	Aurnou	7	x	02/26/2015	$199.99	"Lewin, Laura"	General Security & Privacy													
0789756137	CCNP Routing and Switching SWITCH 300-115 Complete Video Course	Wallace	8.5	y	02/24/2015	$349.99	"Bartow, Brett"	Cisco Certification													
0789753677	"Oracle Certified Associate, Java SE 7 Programmer Exam (1Z0-803) Complete Video Course"	Roberts	17	x	02/10/2015	$299.99	"Lincoln, Denise"	Certification													
0789755068	Red Hat Certified System Administrator (RHCSA) and Red Hat Certified Engineer (RHCE) Complete Video Course Library	van Vugt	21.5	x	01/30/2015	$439.99	"Lincoln, Denise"	Certification													
032191872X	"JavaFX Programming LiveLessons, Part I (Video Training), Downloadable Version"	Anderson	9.5	x	01/28/2015	$249.99	"Phifer, Julie"	Java Programming													
0134037731	"Developing Android User Interfaces LiveLessons (Video Training), Downloadable"	Porter	3.5	x	01/27/2015	$149.99	"Lewin, Laura"	Mobile Programming													
1587204576	IPv6 Fundamentals LiveLessons	Graziani	6	x	01/20/2015	$199.99	"Ray, Mary Beth"	Networking													
0789754541	LPIC-1 (Exam 101) LiveLessons	van Vugt	6	x	01/13/2015	$199.99	"Lincoln, Denise"	Certification													
0789753987	MCSA Querying Microsoft SQL Server 2012 (Exam 70-461) LiveLessons	White	11.5	y	01/12/2015	$199.99	"Lincoln, Denise"	Microsoft Programming													
1587205645	NX-OS Configuration Fundamentals LiveLessons	Fuller / Jansen / McPherson	12	x	12/22/2014	$299.99	"Lincoln, Denise"	Cisco Certification													
1587205653	"Wi-Fi Configuration, Deployment and Troubleshooting LiveLessons"	Henry	10.5	x	12/22/2014	$299.99	"Lincoln, Denise"	Networking													
0134098013	Learn More Python the Hard Way LiveLessons (Workshop)	Shaw	4	x	12/18/2014	$299.99	"Williams-Cauley, Debra"	Perl/PHP/Python													
0789753693	Red Hat Certified Engineer (RHCE) Complete Video Course	van Vugt	8	x	12/17/2014	$249.99	"Lincoln, Denise"	Certification													
0134096134	Docker Containers LiveLessons	Negus	4	x	12/15/2014	$149.99	"Williams-Cauley, Debra"	Linux/Unix/Open Source													
0134051238	Introduction to Game Design LiveLessons (Video Training)	Macklin / Sharp	4	x	12/10/2014	$149.99	"Lewin, Laura"	Game Programming													
0134051254	Large-Scale C++ LiveLessons (Workshop)	Lakos	4	x	12/09/2014	$149.99	"Boedigheimer, Kim"	C/C++ Programming													
0672338432	"Microsoft Security Fundamentals LiveLessons (Video Training), Downloadable Video"	Liberman	3	x	12/09/2014	$199.99	"Yates, Loretta"	Microsoft Servers													
0134070860	Java and MongoDB Rapid App Prototyping (Developer Talks)	Gee	1	x	12/05/2014	$69.99	"Phifer, Julie"	Java Programming													
0134052684	Advanced R LiveLessons	Lander	4	y	12/04/2014	$299.99	"Williams-Cauley, Debra"	Big Data													
0134051246	Software Architecture in Practice LiveLessons (Video Training)	Kazman	9	x	12/03/2014	$299.99	"Boedigheimer, Kim"	Architecture and Design													
0134087135	D3 Visualization LiveLessons	King	6	x	12/01/2014	$299.99	"Williams-Cauley, Debra"	Big Data													
0672338424	"Microsoft Windows Operating System Fundamentals LiveLessons (Video Training), Downloadable Video"	Liberman	6	x	11/20/2014	$149.99	"Yates, Loretta"	Microsoft Windows Server													
0133903982	"iOS 8 Development: Introduction to Building Apps  LiveLessons (Video Training), Downloadable Version"	Keeley	9	x	11/19/2014	$169.99	"MacDonald, Trina"	Mac OS Programming													
0134052404	Hadoop Fundamentals LiveLessons (Video Training)	Eadline	9.5	x	11/18/2014	$299.99	"Williams-Cauley, Debra"	Big Data													
0672338416	"Microsoft Windows Server Administration Fundamentals LiveLessons (Video Training),Downloadable Video"	Liberman	4	x	11/13/2014	$149.99	"Yates, Loretta"	Microsoft Windows Server													
0789753952	"T-SQL Fundamentals LiveLessons (Video Training), Downloadable Video"	Balter	5	x	11/03/2014	$149.99	"Yates, Loretta"	Microsoft Other Server													
0133993450	"DevOps in AWS LiveLessons (Video Training), Downloadable Video"	Duvall	5	x	10/29/2014	$299.99	"Phifer, Julie"	Networking													
0133892018	"Game Development Essentials II with Unity LiveLessons (Video Training), Downloadable"	Geig	6	x	10/29/2014	$149.99	"Lewin, Laura"	Game Programming													
032182668X	Objective-C Programming: iOS and the Foundation Framework LiveLessons (Video DVD)	Kochan	14	x	10/29/2014	$99.99	"Taber, Mark"	Mac OS Programming													
0789753731	CCNP Routing and Switching ROUTE 300-101 Complete Video Course	Wallace	15.5	y	10/27/2014	$349.99	"Bartow, Brett"	Cisco Certification													
0134035399	"TDD, Refactoring and Pair Programming LiveLessons (Workshop), Downloadable Video"	Beecham	4.5	x	10/24/2014	$299.99	"Phifer, Julie"	Agile													
0672338408	"Microsoft Networking Fundamentals LiveLessons (Video Training), Downloadable Video"	Liberman	8.5	x	10/21/2014	$199.99	"Yates, Loretta"	Microsoft Servers													
0789754096	Windows PowerShell Fundamentals LiveLessons (Video Training)	Griffin	6	x	10/20/2014	$149.99	"Bull, Katherine"	Microsoft Programming													
0133988716	SharePoint 2013 Essentials for Developers LiveLessons (Downloadable Video)	Armstrong	12	x	10/17/2014	$249.99	"Murray, Joan"	Microsoft Programming													
0672337215	"Microsoft SharePoint 2013 Development LiveLessons (Video Training), Downloadable Video"	Hillier	4.5	x	10/16/2014	$149.99	"Yates, Loretta"	Microsoft Other Server													
0789753650	Cisco CCNA Data Center DCICN 640-911 LiveLessons	Dagenhardt	5.5	x	10/15/2014	$149.99	"Lincoln, Denise"	Cisco Certification													
0134031482	Introduction to C++ Concurrency LiveLessons (Video Training)	Milewski	4	x	10/08/2014	$199.99	"Boedigheimer, Kim"	C/C++ Programming													
0134122364	"Advanced Scrum LiveLessons (Video Training), Downloadable Video"	Norman	5	x	10/06/2014	$299.99	"Phifer, Julie"	Agile													
0134000048	"Scrum Fundamentals and Advanced LiveLessons (Video Training), Downloadable Version"	Norman	8	x	10/06/2014	$399.99	"Phifer, Julie"	Agile													
0789755947	Red Hat Certified System Administrator (RHCSA) Complete Video Course	van Vugt	13	x	10/01/2014	$299.99	"Lincoln, Denise"	Certification													
0134033825	Red Hat Enterprise Linux (RHEL) 7 New Features LiveLessons	van Vugt	3	x	09/30/2014	$149.99	"Lincoln, Denise"	Linux/Unix/Open Source													
0133927628	"Linux Web Operations LiveLessons (Video Training), Downloadable Video"	Whaley	5	x	09/10/2014	$299.99	"Phifer, Julie"	Linux/Unix/Open Source													
0134029992	"DirectX Essentials LiveLessons (Video Training), Downloadable"	Varcholik	5	x	09/08/2014	$149.99	"Lewin, Laura"	Graphic Programming													
0789753502	CompTIA Security+ (SY0-401) Complete Video Course	Shannon	13	x	09/05/2014	$299.99	"Lincoln, Denise"	CompTIA Certification													
0133991776	Git and GitHub LiveLessons (Workshop)	Bell	4	x	09/03/2014	$149.99	"Phifer, Julie"	General/Software Engineering/Other SW Dev													
0672337207	"Microsoft Exchange 2013 LiveLessons (Video Training), Downloadable Video"	Posey	5	x	09/03/2014	$149.99	"Yates, Loretta"	Microsoft Other Server													
0133852555	"Learning AngularJS LiveLessons (Video Training), Downloadable Version"	Wandschneider	6	x	08/29/2014	$149.99	"Phifer, Julie"	Ajax & JavaScript													
0134076990	Swift Fundamentals LiveLessons Part I of II (Video Training)	Deitel	8	x	08/20/2014	$199.99	"Taub, Mark"	Mac OS Programming													
